Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The Ten Commandments,1956,05 Oct 1956,"Adventure, Drama, Family",220 min,Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon","Charlton Heston, Yul Brynner, Anne Baxter",G,7.9,N/A,"81,627",Won 1 Oscar. 13 wins & 12 nominations total,"$65,500,000",United States,English,"To escape the edict of Egypt's Pharaoh Rameses I (Ian Keith), condemning all newborn Hebrew males, the infant Moses (Fraser C. Heston) is set adrift on the Nile in a reed basket. Saved by the pharaoh's daughter Bithiah (Nina Foch), he is adopted by her and brought up in the court of her brother, Pharaoh Sethi (Sir Cedric Hardwicke). Moses (Charlton Heston) gains Sethi's favor and the love of the throne Princess Nefretiri (Anne Baxter), as well as the hatred of Sethi's son, Rameses II (Yul Brynner). When his Hebrew heritage is revealed, Moses is cast out of Egypt, and makes his way across the desert where he marries, has a son, and is commanded by God to return to Egypt to free the Hebrews from slavery. In Egypt, Moses' fiercest enemy proves to be not Rameses II, but someone near to him who can ""harden his heart"".",https://m.media-amazon.com/images/M/MV5BMDRiZmNjZDAtN2I0Ny00YjIyLTk3NTUtODUyYTJlMTJhY2U0XkEyXkFqcGc@._V1_SX300.jpg
The Insider,1999,05 Nov 1999,"Biography, Drama, History",157 min,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann","Russell Crowe, Al Pacino, Christopher Plummer",R,7.8,85,"187,095",Nominated for 7 Oscars. 23 wins & 58 nominations total,"$29,089,912",United States,"English, Japanese, Arabic, Persian","Balls-out 60 Minutes (1968) Producer Lowell Bergman (Al Pacino) sniffs a story when a former research biologist for Brown &amp; Williamson, Jeff Wigand (Russell Crowe), won't talk to him. When the company leans hard on Wigand to honor a confidentiality agreement, he gets his back up. Trusting Bergman, and despite a crumbling marriage, he goes on camera for a Mike Wallace (Christopher Plummer) interview and risks arrest for contempt of court. Westinghouse is negotiating to buy CBS, so CBS attorneys advise CBS News to shelve the interview and avoid a lawsuit. 60 Minutes (1968) and CBS News bosses cave, Wigand is hung out to dry, Bergman is compromised, and the CEOs of Big Tobacco may get away with perjury. Will the truth come out?",https://m.media-amazon.com/images/M/MV5BZGY3ZjEyODAtNjAwMC00ZTEwLTg3NDctYzMzYTZkMjBmZDQwXkEyXkFqcGc@._V1_SX300.jpg
Ambulance,2022,08 Apr 2022,"Action, Crime, Drama",136 min,Michael Bay,"Chris Fedak, Laurits Munch-Petersen, Lars Andreas Pedersen","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",R,6.1,55,"108,338",11 nominations total,"$22,781,115","United States, Japan","English, Spanish, Cantonese",Two robbers steal an ambulance after their heist goes awry.,https://m.media-amazon.com/images/M/MV5BZDZiY2RmNjgtYzYyZi00ZGEyLTlkOTUtZDc5OTUzY2NlMmEyXkEyXkFqcGc@._V1_SX300.jpg
Dick Tracy,1990,15 Jun 1990,"Action, Comedy, Crime",105 min,Warren Beatty,"Chester Gould, Jim Cash, Jack Epps Jr.","Warren Beatty, Madonna, Al Pacino",PG,6.2,68,"68,468",Won 3 Oscars. 9 wins & 37 nominations total,"$103,738,726",United States,English,"All Tess Trueheart wants is to settle down to a quiet life with her boyfriend, detective Dick Tracy. But there's something pretty rotten going on in town, with someone pretty rotten behind it, and Tracy has his hands full with the likes of villain Big Boy Caprice and with the almost irresistible Breathless Mahoney.",https://m.media-amazon.com/images/M/MV5BZDRmNmU2OGUtOWVjNC00NTI5LTg4ODQtNmY0NTNkY2ZhM2RkXkEyXkFqcGc@._V1_SX300.jpg
Pinocchio,1940,23 Feb 1940,"Animation, Adventure, Comedy",88 min,"Norman Ferguson, T. Hee, Wilfred Jackson","Carlo Collodi, Ted Sears, Otto Englander","Dickie Jones, Christian Rub, Mel Blanc",Approved,7.5,99,"167,654",Won 2 Oscars. 9 wins total,"$84,254,167",United States,English,"Inventor Gepetto creates a wooden marionette called Pinocchio. His wish for Pinocchio to be a real boy is unexpectedly granted by a fairy. The fairy assigns Jiminy Cricket to act as Pinocchio's ""conscience"" and keep him out of trouble. Jiminy is not too successful in this endeavor and most of the film is spent with Pinocchio deep in trouble.",https://m.media-amazon.com/images/M/MV5BZGU3MTE3NjYtMGU1Zi00NjBmLTg4MzItZjg0OGZmNjZiYjQwXkEyXkFqcGc@._V1_SX300.jpg
Minions: The Rise of Gru,2022,01 Jul 2022,"Animation, Adventure, Comedy",87 min,"Kyle Balda, Brad Ableson, Jonathan del Val","Matthew Fogel, Brian Lynch","Steve Carell, Pierre Coffin, Alan Arkin",PG,6.5,56,"98,505",1 win & 18 nominations total,"$370,549,695","United States, France","English, Vietnamese","In the heart of the 1970s, amidst a flurry of feathered hair and flared jeans, Gru (Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making back-up from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto - a new Minion sporting braces and a desperate need to please - deploy their skills as they and Gru build their first lair, experiment with their first weapons, and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles, and discover that even bad guys need a little help from their friends.",https://m.media-amazon.com/images/M/MV5BZTAzMTkyNmQtNTMzZS00MTM1LWI4YzEtMjVlYjU0ZWI5Y2IzXkEyXkFqcGc@._V1_SX300.jpg
She Said,2022,18 Nov 2022,"Drama, History",129 min,Maria Schrader,"Rebecca Lenkiewicz, Jodi Kantor, Megan Twohey","Zoe Kazan, Carey Mulligan, Patricia Clarkson",R,7.3,74,"46,718",Nominated for 2 BAFTA 14 wins & 43 nominations total,"$5,825,995","United States, Japan","English, Hebrew, Cantonese",Jodi Kantor and Megan Twohey's quest to break the Harvey Weinstein scandal.,https://m.media-amazon.com/images/M/MV5BNjVmNTk1NzktMjk3OC00NDYwLWIzMzMtY2EzZWU0YjZlMmRkXkEyXkFqcGc@._V1_SX300.jpg
Good Luck Chuck,2007,21 Sep 2007,"Comedy, Romance",96 min,Mark Helfrich,"Josh Stolberg, Steve Glenn","Dane Cook, Jessica Alba, Dan Fogler",R,5.6,19,"96,879",1 win & 3 nominations total,"$35,017,297","United States, Canada",English,"Early thirty-something dentist Dr. Charlie Logan has never experienced true love, despite having had a number of girlfriends over the years. After an announcement by one of his ex-girlfriends as such at her wedding, Charlie gets a reputation as being a good luck charm. Every woman he has slept with has met and married her dream man immediately following. He is encouraged to exploit this reputation by his long time best friend, Dr. Stu Klaminsky, a sex obsessed, sex starved schlub who became a plastic surgeon just so that he could masturbate over the sight of women's breasts. Charlie doesn't want to be solely a stepping stone for women, which is how they end up treating him once he gains this reputation as a lucky charm, but rather one's true love. He believes the woman of his dreams is accident-prone Cam Wexler, who works as the penguin caretaker at the aquarium. Cam initially doesn't want to date Charlie because of his reputation as a one-night stand type of guy. Charlie in turn doesn't want to sleep with Cam as he is certain she will find her true love after they do. Cam's true love seems destined to be penguin expert Howard Blaine. To get to true happiness, Charlie feels he needs to speak to Anisha Carpenter, who he feels is the cause of his current problems. Anisha ends up helping him in a way he doesn't expect.",https://m.media-amazon.com/images/M/MV5BMTU1NzM1MTE1OV5BMl5BanBnXkFtZTYwNDQyMjU3._V1_SX300.jpg
Hot Summer Nights,2017,27 Jul 2018,"Crime, Drama, Romance",107 min,Elijah Bynum,Elijah Bynum,"Timothée Chalamet, Maika Monroe, Alex Roe",R,6.4,44,"25,847",3 nominations total,N/A,United States,English,"In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.",https://m.media-amazon.com/images/M/MV5BYzQ2Y2EyMzgtYjQ0YS00Njk4LTlkODQtMjczODdlZGI3ZjI3XkEyXkFqcGc@._V1_SX300.jpg
The Cannonball Run,1981,19 Jun 1981,"Action, Comedy, Sport",95 min,Hal Needham,Brock Yates,"Burt Reynolds, Roger Moore, Farrah Fawcett",PG,6.2,28,"42,098",1 win & 4 nominations total,"$72,179,579","Hong Kong, United States","English, Cantonese, Japanese, Arabic","This comedy movie brings Burt Reynolds, Sir Roger Moore, Farrah Fawcett, Dom DeLuise, Dean Martin, Sammy Davis, Jr. and an all-star cast to the starting line of the ultimate auto race, a madcap cross-country scramble that roars full-speed ahead. This action-comedy was inspired by an actual event: the Cannonball Baker Sea-To-Shining-Sea Memorial Trophy Dash, an anything goes, all-stops-out, and very much illegal, competition that has grown to legendary proportions within the last ten years.",https://m.media-amazon.com/images/M/MV5BMjk5YWQ1NmItY2NkNS00NjI0LTgyNzktNGI0MWU1NWQ1MTNhXkEyXkFqcGc@._V1_SX300.jpg
An American Crime,2007,07 Dec 2007,"Biography, Crime, Drama",98 min,Tommy O'Haver,"Tommy O'Haver, Irene Turner","Elliot Page, Hayley McFarland, Nick Searcy",R,7.2,N/A,"38,430",Nominated for 1 Primetime Emmy. 3 nominations total,N/A,United States,English,"Based on a true story that shocked the nation in 1965, the film recounts one of the most shocking crimes ever committed against a single victim. Sylvia and Jennie Fae Likens, the two daughters of traveling carnival workers are left for an extended stay at the Indianapolis home of single mother Gertrude Baniszewski and her six children. Times are tough, and Gertrude's financial needs cause her to make this arrangement before realizing how the burden will push her unstable nature to a breaking point. What transpires in the next three months is both riveting and horrific.",https://m.media-amazon.com/images/M/MV5BOGExMjY3YzctY2Y1Yi00ZWU3LTg1ODktODAxNDQ1ZTAxMjIzXkEyXkFqcGc@._V1_SX300.jpg
The Giver,2014,15 Aug 2014,"Drama, Romance, Sci-Fi",97 min,Phillip Noyce,"Michael Mitnick, Robert B. Weide, Lois Lowry","Brenton Thwaites, Jeff Bridges, Meryl Streep",PG-13,6.4,47,"128,044",3 wins & 6 nominations total,"$45,090,374","Canada, South Africa, United States",English,"A youth named Jonas lives in an equalized, literally colorless, but pleasant society with no knowledge of love or pain and such. When he and his best friends Asher and Fiona come of age, they receive their societal roles, with Jonas given the rare position of Receiver (of Memories). Because of this, he meets a mentoring elder Receiver (later called The Giver). They look at memories of the past world, of joy, of pain, and of love. As Jonas receives these memories, he breaks the cardinal rule against sharing them with others, thereby getting in trouble with the watchful Chief Elder. When Jonas discovers that an infant boy named Gabriel will be terminated, his efforts to save the child puts him squarely against his society. Deciding that all must re-learn to see color, to feel pain, and to show and receive love, Jonas becomes public enemy number one.",https://m.media-amazon.com/images/M/MV5BMTY1MTIxMjg2Ml5BMl5BanBnXkFtZTgwMjUyNzgwMjE@._V1_SX300.jpg
Roma,2018,14 Dec 2018,Drama,135 min,Alfonso Cuarón,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",R,7.7,96,"174,192",Won 3 Oscars. 257 wins & 232 nominations total,N/A,"Mexico, United States","Spanish, Mixtec, English, Japanese, German, French, Norwegian","Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When Sofía decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family.",https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_SX300.jpg
Fred Claus,2007,09 Nov 2007,"Comedy, Family, Fantasy",116 min,David Dobkin,"Dan Fogelman, Jessie Nelson","Vince Vaughn, Paul Giamatti, Elizabeth Banks",PG,5.7,42,"49,560",N/A,"$72,006,777",United States,English,"During childhood, Fred Claus suffered his younger brother Nick's saintliness. Jump ahead: Fred is a fast-talking, genial but self-centered guy in Chicago looking for $50,000 to open an off-track-betting shop. When one scam goes awry, he calls Nick at the North Pole for a loan: Nick will give him the money only if Fred comes up to help a few days with the Christmas rush. After his girlfriend dumps him, Fred heads north. Santa's facing an audit from an efficiency expert, and it's not pleasant. Fred's job is to review charts and determine who's naughty and who's nice. Is there any fraternal feeling left, can either learn from the other, and what about Santa getting fired?",https://m.media-amazon.com/images/M/MV5BMTY0NDEwNzc0N15BMl5BanBnXkFtZTcwNjgxNzUzMw@@._V1_SX300.jpg
The Mortal Instruments: City of Bones,2013,21 Aug 2013,"Action, Adventure, Fantasy",130 min,Harald Zwart,"Jessica Postigo, Cassandra Clare","Lily Collins, Jamie Campbell Bower, Robert Sheehan",PG-13,5.8,33,"141,430",6 wins & 11 nominations total,"$31,165,421","United States, Germany, Canada, United Kingdom",English,"Set in contemporary New York City, a seemingly ordinary teenager, Clary Fray, discovers she is the descendant of a line of Shadowhunters, a secret cadre of young half-angel warriors locked in an ancient battle to protect our world from demons. After the disappearance of her mother, Clary must join forces with a group of Shadow Hunters, who introduce her to a dangerous alternate New York called the Shadow World, filled with demons, warlocks, vampires, werewolves and other deadly creatures.",https://m.media-amazon.com/images/M/MV5BMTc5NzAyOTQyNF5BMl5BanBnXkFtZTcwNzQ1MDc4OQ@@._V1_SX300.jpg
The Wasp,2024,30 Sep 2024,Thriller,96 min,Guillem Morales,Morgan Lloyd Malcolm,"Naomie Harris, Natalie Dormer, Dominic Allburn",R,6.0,69,"3,315",N/A,"$36,878","United States, Finland, United Kingdom, Canada",English,"Follows Heather and Carla, who meet after having not spoken in years. Heather is about to present a very unexpected proposition that could change their lives forever.",https://m.media-amazon.com/images/M/MV5BNzE1YTljYTgtNzczZi00NTAyLThkYjUtYWExZDU4ZTY5YTdlXkEyXkFqcGc@._V1_SX300.jpg
Kingpin,1996,26 Jul 1996,"Comedy, Sport",114 min,"Bobby Farrelly, Peter Farrelly","Barry Fanaro, Mort Nathan","Woody Harrelson, Randy Quaid, Bill Murray",PG-13,6.9,43,"94,445",N/A,"$25,023,434",United States,English,"Roy Munson was raised to be the best bowler in the world (trained early on by his father). But a fellow bowler, Ernie McCracken and a misunderstanding with some rough punks, leaves poor Roy with the loss of his bowling hand! Not to let this get him down, he gets a prosthetic hand and becomes a travelling sales man. But it's really all down hill for him from that night on until ... One day he meets Ishmael who is Amish and sneaks away from the farm to bowl (his fellow Amish would disown him if they knew)! Roy convinces Ishmael to let him be his trainer and he'll make him the best bowler the world has ever seen. Reluctantly Ishmael agrees to go on the road and shortly afterwards actually finds that life outside the farm is quite fun. Soon their paths cross that of Ernie McCracken who is still a top ranking bowler. While Roy's career and life have landed in the toilet bowl, Ernie is still drawing huge crowds and all the babes! They both square off for the ultimate bowling championship ... to see which one truly IS the champion.",https://m.media-amazon.com/images/M/MV5BODAzODIyMDYwMV5BMl5BanBnXkFtZTcwMTUyNTEzNA@@._V1_SX300.jpg
Memory,2022,29 Apr 2022,"Action, Crime, Thriller",114 min,Martin Campbell,"Dario Scardapane, Jef Geeraerts, Carl Joos","Liam Neeson, Guy Pearce, Taj Atwal",R,5.7,41,"39,586",N/A,"$7,329,043",United States,"English, Spanish","Alex Lewis (Liam Neeson) is an expert assassin with a reputation for discreet precision. Caught in a moral quagmire, Alex refuses to complete a job that violates his code and must quickly hunt down and kill the people who hired him before they and FBI agent Vincent Serra (Guy Pearce) find him first. Alex is built for revenge but, with a memory that is beginning to falter, he is forced to question his every action, blurring the line between right and wrong.",https://m.media-amazon.com/images/M/MV5BNjk1ZjBkMTgtZmIwMi00OTM0LTk4ZGQtNDE0YmNkY2I3YTMyXkEyXkFqcGc@._V1_SX300.jpg
Moonstruck,1987,15 Jan 1988,"Comedy, Drama, Romance",102 min,Norman Jewison,John Patrick Shanley,"Cher, Nicolas Cage, Olympia Dukakis",PG,7.2,83,"74,608",Won 3 Oscars. 18 wins & 19 nominations total,"$80,640,528",United States,"English, Italian, Latin","No sooner does Italian-American widow Loretta accept a marriage proposal from her doltish boyfriend, Johnny, then she finds herself falling for his younger brother, Ronny. She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.",https://m.media-amazon.com/images/M/MV5BZjdiMjI1MTQtMWIzNC00OTg2LWI5NjItYTBiMTYzMmIxYmNjXkEyXkFqcGc@._V1_SX300.jpg
Singin' in the Rain,1952,10 Apr 1952,"Comedy, Musical, Romance",103 min,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds",G,8.3,99,"274,414",Nominated for 2 Oscars. 11 wins & 11 nominations total,"$1,884,537",United States,English,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until The Jazz Singer (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as Monumental's ideas man and musical director. And by this time, Don has secretly started dating Kathy Selden, a chorus girl who is trying to make it big in pictures herself. Don and Kathy's relationship is despite their less than friendly initial meeting. Cosmo and Kathy help Don, who had worked his way up through the movie ranks to stardom, try make the leap to talking picture stardom, with Kathy following along the way. However, they have to overcome the technological issues. But the bigger problem is Lina, who will do anything to ensure she also makes the successful leap into talking pictures, despite her own inabilities and at anyone and everyone else's expense if they get in her way, especially Kathy as Don's off screen girlfriend and possibly his new talking picture leading lady.",https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_SX300.jpg
Scary Movie V,2013,12 Apr 2013,"Comedy, Horror",86 min,"Malcolm D. Lee, David Zucker","David Zucker, Pat Proft, Shawn Wayans","Simon Rex, Ashley Tisdale, Charlie Sheen",PG-13,3.6,11,"80,186",5 nominations total,"$32,015,787",United States,"English, Spanish, Latin","Happily-married couple Dan and Jody begin to notice some bizarre activity once they bring their lost nieces and nephew home. But when the chaos expands into Jody's job as a ballet dancer and Dan's career as an Ape researcher, they realize their family is being stalked by a nefarious demon. Together, with the advice of a psychic and the aid of numerous surveillance cameras, they must figure out how to get rid of it before it's too late.",https://m.media-amazon.com/images/M/MV5BM2NlMjRlZTMtODY5Ni00OGYxLThlYmYtZWQ4MjY1NjVlZjBmXkEyXkFqcGc@._V1_SX300.jpg
Twin Peaks: Fire Walk with Me,1992,28 Aug 1992,"Drama, Horror, Mystery",134 min,David Lynch,"David Lynch, Robert Engels, Mark Frost","Sheryl Lee, Ray Wise, Mädchen Amick",R,7.3,45,"113,873",4 wins & 7 nominations total,"$4,160,851","France, United States","English, Latin","Essentially a prequel to David Lynch and Mark Frost's earlier TV series ""Twin Peaks"". The first half-hour or so concerns the investigation by FBI Agent Chet Desmond (Chris Isaak) and his partner Sam Stanley (Kiefer Sutherland) into the murder of night-shift waitress Teresa Banks in the small Washington state town of Deer Meadow. When Desmond finds a mysterious clue to the murder, he inexplicably disappears. The film then cuts to one year later in the nearby town of Twin Peaks and follows the events during the last week in the life of Laura Palmer (Sheryl Lee) a troubled teenage girl with two boyfriends; the hot-tempered rebel Bobby Briggs (Dana Ashbrook) and quiet biker James Hurley (James Marshall), her drug addiction, and her relationship with her difficult (and possible schizophrenic) father Leland (Ray Wise), a story in which her violent murder was later to motivate much of the TV series. Contains a considerable amount of sex, drugs, violence, very loud music and inexplicable imagery.",https://m.media-amazon.com/images/M/MV5BYzJmZGFiMzAtODNhOC00NzAwLWFlMzAtYTQzYmRmYjIwNDgyXkEyXkFqcGc@._V1_SX300.jpg
Freaky Friday,2003,06 Aug 2003,"Comedy, Family, Fantasy",97 min,Mark Waters,"Mary Rodgers, Heather Hach, Leslie Dixon","Jamie Lee Curtis, Lindsay Lohan, Mark Harmon",PG,6.3,70,"160,629",5 wins & 11 nominations total,"$110,230,332",United States,"English, Mandarin","The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.",https://m.media-amazon.com/images/M/MV5BOGNhNDAyZWUtNmU3My00ZWRlLTkwYTgtMzZiYmNjNmM0MzVkXkEyXkFqcGc@._V1_SX300.jpg
Ocean's Thirteen,2007,08 Jun 2007,"Crime, Thriller",122 min,Steven Soderbergh,"Brian Koppelman, David Levien, George Clayton Johnson","George Clooney, Brad Pitt, Matt Damon",PG-13,6.9,62,"378,366",1 win & 5 nominations total,"$117,154,724",United States,"English, Mandarin, Spanish, French","The last time we saw Danny Ocean's crew, they were paying back ruthless casino mogul Terry Benedict after stealing millions from him. However, it's been a while since they've come back together, which is all about to change. When one of their own, Reuben Tishkoff, builds a hotel with another casino owner, Willy Bank, the last thing he ever wanted was to get cut out of the deal personally by the loathsome Bank. Bank's attitude even goes so far as to finding the amusement in Tishkoff's misfortune when the double crossing lands Reuben in the hospital because of a heart attack. However, Danny and his crew won't stand for Bank and what he's done to a friend. Uniting with their old enemy Benedict, who himself has a vendetta against Bank, the crew is out to pull off a major plan; one that will unfold on the night Bank's newest hot spot opens up. They're not in this for the money, but for the revenge.",https://m.media-amazon.com/images/M/MV5BMTMyNTc1NzY5MV5BMl5BanBnXkFtZTcwNDM4NTQzMw@@._V1_SX300.jpg
Network,1976,27 Nov 1976,Drama,121 min,Sidney Lumet,Paddy Chayefsky,"Faye Dunaway, William Holden, Peter Finch",R,8.1,83,"176,692",Won 4 Oscars. 20 wins & 27 nominations total,"$23,689,877",United States,English,"In the 1970s, terrorist violence is the stuff of networks' nightly news programming and the corporate structure of the UBS Television Network is changing. Meanwhile, Howard Beale, the aging UBS news anchor, has lost his once strong ratings share and so the network fires him. Beale reacts in an unexpected way. We then see how this affects the fortunes of Beale, his coworkers (Max Schumacher and Diana Christensen), and the network.",https://m.media-amazon.com/images/M/MV5BY2E4ZGJiNTMtZTAxZC00MmVlLWI1NjYtMGVhMjhkOGEwZDhjXkEyXkFqcGc@._V1_SX300.jpg
The Hunger Games: Mockingjay - Part 1,2014,21 Nov 2014,"Action, Adventure, Sci-Fi",123 min,Francis Lawrence,"Peter Craig, Danny Strong, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",PG-13,6.6,64,"528,700",21 wins & 32 nominations total,"$337,135,885","United States, Canada, France",English,"With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"", the symbol of rebellion for the districts of Panem.",https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg
Contagion,2011,09 Sep 2011,"Drama, Thriller",106 min,Steven Soderbergh,Scott Z. Burns,"Matt Damon, Kate Winslet, Jude Law",PG-13,6.8,70,"324,795",2 wins & 14 nominations total,"$75,658,097","United Arab Emirates, United States","English, Mandarin, Cantonese","Soon after her return from a business trip to Hong Kong, Beth Emhoff dies from what is a flu or some other type of infection. Her young son dies later the same day. Her husband Mitch however seems immune. Thus begins the spread of a deadly infection. For doctors and administrators at the U.S. Centers for Disease Control, several days pass before anyone realizes the extent or gravity of this new infection. They must first identify the type of virus in question and then find a means of combating it, a process that will likely take several months. As the contagion spreads to millions of people worldwide, societal order begins to break down as people panic.",https://m.media-amazon.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_SX300.jpg
Super Troopers,2001,15 Feb 2002,"Comedy, Crime, Mystery",100 min,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Kevin Heffernan, André Vippolis",R,7.0,48,"115,111",1 win total,"$18,492,362",United States,"English, German, French","Thorny, Mac, Rabbit, Foster and Farva are Vermont state troopers out to have a good time. Stationed in a remote area near the Canadian border, the troopers, avid pranksters with an affinity for syrup, have a knack for screwing up on the job. But when budget cuts in the town of Spurbury threaten their livelihood and pit them against arch-rival Spurbury P.D., the five friends try to straighten up and fly right. That is, until a dead body is discovered and a possible drug ring is unearthed. The super troopers spring into action attempting to solve the crime, save their jobs, and outdo the local police department.",https://m.media-amazon.com/images/M/MV5BM2ViMTkwNzItMzRiYy00MmFmLThkNzQtZTMwYWNiYzk0MzIwXkEyXkFqcGc@._V1_SX300.jpg
Crimson Peak,2015,16 Oct 2015,"Drama, Horror, Mystery",119 min,Guillermo del Toro,"Guillermo del Toro, Matthew Robbins","Mia Wasikowska, Jessica Chastain, Tom Hiddleston",R,6.5,66,"162,346",7 wins & 44 nominations total,"$31,090,320","United States, Mexico, Canada",English,"Edith Cushing's mother died when she was young but watches over her. Brought up in the Victorian Era she strives to be more than just a woman of marriageable age. She becomes enamored with Thomas Sharpe, a mysterious stranger. After a series of meetings and incidents she marries Thomas and comes to live with him and his sister, Lady Lucille Sharpe, far away from everything she has known. The naive girl soon comes to realize not everything is as it appears as ghosts of the past quite literally come out of the woodwork. This movie is more about mystery and suspense than gore.",https://m.media-amazon.com/images/M/MV5BN2RkYzA2MjMtNGI1OS00NTA4LWFlMjktYzVhOTJjOTI0Zjc4XkEyXkFqcGc@._V1_SX300.jpg
The Three Musketeers,2011,21 Oct 2011,"Action, Adventure, Fantasy",110 min,Paul W.S. Anderson,"Alex Litvak, Andrew Davies, Alexandre Dumas","Logan Lerman, Matthew Macfadyen, Ray Stevenson",PG-13,5.7,35,"114,290",5 nominations total,"$20,374,484","United States, Germany, France, United Kingdom",English,"After failing to steal Leonardo Da Vinci's airship blueprints, the Musketeers are disbanded by Cardinal Richeliu, leaving Athos, Porthos, and Aramis on the streets of Paris. In the meantime, young, reckless, ambitious D'Artagnan has set off from Gascony with dreams of becoming a Musketeer himself, not realizing that they have been disbanded. In no time, D'Artagnan manages to offend Athos, Porthos, and Aramis on different occasions and challenges them all to duels. But before the duels can take place they are attacked by guards who try to arrest them for illegal dueling. The ex-Musketeers and D'Artagnan fight off the soldiers, leading to the four men becoming a band with the motto of ""All for one and one for all"". Count Richelieu is not only determined to be rid of the Musketeers, but also schemes with Athos' former lover Milady to undermine the reign of King Louis and his wife. The Musketeers and D'Artagnan are determined to save the Royal Family and France itself.",https://m.media-amazon.com/images/M/MV5BMTM3OTc2OTM2OF5BMl5BanBnXkFtZTcwMDM1MjU1NQ@@._V1_SX300.jpg
